SYNERGY	COMBINATION_ID	CELL_LINE	COMPOUND_A	COMPOUND_B	Target_A	Target_B	MAX_CONC_A	MAX_CONC_B	IC50_A	H_A	Einf_A	IC50_B	H_B	Einf_B	Avg_HBA	Var_HBA	Avg_cLogP	Var_cLogP	Avg_HBD	Var_HBD	Avg_Lipinski	Var_Lipinski	Avg_MW	Var_MW	PPI_Dis	Overlap_Neighbor	Overlap_CGN	Overlap_CM	Overlap_bp	Overlap_mf	Overlap_cc	Overlap_onco	Avg_exp	Var_exp	PPI_Dis_cnv	Overlap_Neighbor_cnv	Overlap_CGN_cnv	Overlap_CM_cnv	Overlap_bp_cnv	Overlap_mf_cnv	Overlap_cc_cnv	Overlap_onco_cnv	PPI_Dis_lof	Overlap_Neighbor_lof	Overlap_CGN_lof	Overlap_CM_lof	Overlap_bp_lof	Overlap_mf_lof	Overlap_cc_lof	Overlap_onco_lof	Target_lof
29.54039	ADAM17.AKT	BT-20	ADAM17	AKT1,AKT2,AKT3	ADAM17	AKT1,AKT2,AKT3	1	75	1	0.8090022	59.12243638	9.639713632	0.7579769	91.59342459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	4.27101743039248	0.736289241359166	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	2.5	0.0104529616724739	0.964285714285714	0.153846153846154	0.0363636363636364	NA	0.222222222222222	0.1	0
0.3154222	ADAM17.AKT	CAL-51	ADAM17	AKT1,AKT2,AKT3	ADAM17	AKT1,AKT2,AKT3	1	75	1	0.7269842	11.15084267	75	0.3750427	76.65647869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	3.88357661027156	0.800221839518056	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	2.49404761904762	0.582322357019064	0.986486486486487	0.891304347826087	0.78698224852071	0.905660377358491	0.86046511627907	0.653846153846154	0
-0.801993	ADAM17.AKT	HCC1187	ADAM17	AKT1,AKT2,AKT3	ADAM17	AKT1,AKT2,AKT3	1	75	0.410029094	1.4969009	51.9212647	1	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	4.05792418190516	0.777199720070283	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	2.25	0.0309278350515464	NA	0	0.0862068965517241	NA	0.3	0.1	0
-26.73325	ADAM17.AKT	HCC1806	ADAM17	AKT1,AKT2,AKT3	ADAM17	AKT1,AKT2,AKT3	1	75	0.313992099	10	63.39963528	75	0.39257	48.6500541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	4.03289946624867	0.989841234996062	2	0.243169398907104	NA	0.652173913043478	0.664179104477612	0.647058823529412	0.7	0.357142857142857	1.73333333333333	0.666184971098266	0.666666666666667	0.864864864864865	0.794285714285714	0.846153846153846	0.76	0.4	0
32.16552	ADAM17.AKT	HCC1937	ADAM17	AKT1,AKT2,AKT3	ADAM17	AKT1,AKT2,AKT3	1	75	1	0.7718302	41.52955424	1.677923529	1.1194872	92.18802938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	4.1121987776558	0.617951276158896	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	1.875	0.627388535031847	0.666666666666667	0.692307692307692	0.717557251908397	0.793103448275862	0.76	0.1	0
8.31689	ADAM17.AKT	HCC70	ADAM17	AKT1,AKT2,AKT3	ADAM17	AKT1,AKT2,AKT3	1	75	0.273313342	4.4425604	17.44189655	1	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	4.15159327804296	0.883385995874802	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	1.875	0.0342465753424658	0.909090909090909	0	0.607843137254902	0.6	0.333333333333333	0.181818181818182	0
13.21102	ADAM17.AKT	MDA-MB-231	ADAM17	AKT1,AKT2,AKT3	ADAM17	AKT1,AKT2,AKT3	1	75	1	10	67.00001656	1	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	4.42909783127538	0.531787888579456	2	0.243169398907104	NA	0.652173913043478	0.664179104477612	0.647058823529412	0.7	0.357142857142857	1.95833333333333	0.466269841269841	0.96875	0.724137931034483	0.937759336099585	0.727272727272727	0.793103448275862	0.5	0
-4.212955	ADAM17.AKT	MDA-MB-436	ADAM17	AKT1,AKT2,AKT3	ADAM17	AKT1,AKT2,AKT3	1	75	0.180147182	3.0950757	75.7680796	1	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	4.75897408066561	1.11325609856181	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	1.6	0.769060773480663	0.666666666666667	0.714285714285714	0.766423357664234	0.846153846153846	0.793103448275862	0.307692307692308	0
16.0498	ADAM17.AKT	MDA-MB-453	ADAM17	AKT1,AKT2,AKT3	ADAM17	AKT1,AKT2,AKT3	1	75	0.282663543	2.2634551	34.21972294	1	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	4.28178189336278	1.13971685107168	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	1.875	0.27807486631016	NA	0.620689655172414	0.383333333333333	0.142857142857143	0.777777777777778	0.1	0
30.52659	ADAM17.AKT	M14	ADAM17	AKT1,AKT2,AKT3	ADAM17	AKT1,AKT2,AKT3	1	75	0.276412346	3.7493134	36.29259006	0.0075	0.1	83.93705267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	4.29119448155993	0.515618762017983	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	2.33333333333333	0.00699300699300699	NA	0	0	NA	0.222222222222222	0	0
-7.039191	ADAM17.BCL2_BCL2L1	BT-549	ADAM17	BCL2,BCL2L1	ADAM17	BCL2,BCL2L1	1	75	1e-04	0.1	79.2327182	0.0075	0.1	90.99552485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5	0.00598802395209581	NA	0	0	NA	0.0740740740740741	0	4.38029966169407	0.721666337592374	2.5	0.00598802395209581	NA	0	0	NA	0.0740740740740741	0	2.33333333333333	0.0514285714285714	0.238095238095238	0	0.579439252336449	0.642857142857143	0.111111111111111	0.117647058823529	0
3.764896	ADAM17.BCL2_BCL2L1	CAMA-1	ADAM17	BCL2,BCL2L1	ADAM17	BCL2,BCL2L1	1	75	1	0.3516074	65.8142818	0.0075	0.1	92.50811196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5	0.00598802395209581	NA	0	0	NA	0.0740740740740741	0	4.61651715993006	1.00227933759423	2.5	0.00598802395209581	NA	0	0	NA	0.0740740740740741	0	2.33333333333333	0.0514285714285714	0.238095238095238	0	0.579439252336449	0.642857142857143	0.111111111111111	0.117647058823529	0
